      k/h             CDM           baryon          photon            nu            mass_nu          total           no_nu         total_de          Weyl            v_CDM            v_b           v_b-v_c    
 1.00898587e-05  2.42505319e+05  2.42505310e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44848023e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389866e+05  2.41389863e+05  0.00000000e+00
 1.02459387e-05  2.42505317e+05  2.42505308e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44848020e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389864e+05  2.41389861e+05  0.00000000e+00
 1.04044330e-05  2.42505315e+05  2.42505306e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44848016e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389861e+05  2.41389859e+05  0.00000000e+00
 1.05653791e-05  2.42505312e+05  2.42505303e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44848013e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389859e+05  2.41389856e+05  0.00000000e+00
 1.07288149e-05  2.42505310e+05  2.42505301e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44848009e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389857e+05  2.41389854e+05  0.00000000e+00
 1.08947788e-05  2.42505308e+05  2.42505298e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44848005e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389855e+05  2.41389852e+05  0.00000000e+00
 1.10633101e-05  2.42505306e+05  2.42505296e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44848001e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389852e+05  2.41389849e+05  0.00000000e+00
 1.12344483e-05  2.42505303e+05  2.42505293e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847997e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389850e+05  2.41389847e+05  0.00000000e+00
 1.14082339e-05  2.42505301e+05  2.42505290e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847993e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389847e+05  2.41389844e+05  0.00000000e+00
 1.15847078e-05  2.42505298e+05  2.42505287e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847989e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389844e+05  2.41389841e+05  0.00000000e+00
 1.17639116e-05  2.42505295e+05  2.42505284e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847984e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389842e+05  2.41389838e+05  0.00000000e+00
 1.19458874e-05  2.42505293e+05  2.42505281e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847980e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389839e+05  2.41389835e+05  0.00000000e+00
 1.21306783e-05  2.42505290e+05  2.42505278e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847975e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389836e+05  2.41389832e+05  0.00000000e+00
 1.23183276e-05  2.42505287e+05  2.42505274e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847970e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389833e+05  2.41389829e+05  0.00000000e+00
 1.25088798e-05  2.42505284e+05  2.42505271e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847965e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389830e+05  2.41389826e+05  0.00000000e+00
 1.27023795e-05  2.42505281e+05  2.42505268e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847960e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389826e+05  2.41389823e+05  0.00000000e+00
 1.28988725e-05  2.42505278e+05  2.42505264e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847954e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389823e+05  2.41389819e+05  0.00000000e+00
 1.30984051e-05  2.42505274e+05  2.42505260e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847949e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389820e+05  2.41389816e+05  0.00000000e+00
 1.33010242e-05  2.42505271e+05  2.42505256e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847943e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389816e+05  2.41389812e+05  0.00000000e+00
 1.35067777e-05  2.42505267e+05  2.42505252e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847937e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389813e+05  2.41389808e+05  0.00000000e+00
 1.37157139e-05  2.42505264e+05  2.42505248e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847931e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389809e+05  2.41389804e+05  0.00000000e+00
 1.39278822e-05  2.42505260e+05  2.42505244e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847925e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389805e+05  2.41389800e+05  0.00000000e+00
 1.41433325e-05  2.42505256e+05  2.42505240e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847918e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389801e+05  2.41389796e+05  0.00000000e+00
 1.43621156e-05  2.42505252e+05  2.42505235e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847912e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389797e+05  2.41389792e+05  0.00000000e+00
 1.45842831e-05  2.42505248e+05  2.42505231e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847905e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389793e+05  2.41389788e+05  0.00000000e+00
 1.48098872e-05  2.42505244e+05  2.42505226e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847898e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389788e+05  2.41389783e+05  0.00000000e+00
 1.50389812e-05  2.42505240e+05  2.42505221e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847890e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389784e+05  2.41389779e+05  0.00000000e+00
 1.52716191e-05  2.42505235e+05  2.42505216e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847883e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389779e+05  2.41389774e+05  0.00000000e+00
 1.55078557e-05  2.42505231e+05  2.42505211e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847875e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389774e+05  2.41389769e+05  0.00000000e+00
 1.57477466e-05  2.42505226e+05  2.42505205e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847867e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389769e+05  2.41389764e+05  0.00000000e+00
 1.59913484e-05  2.42505221e+05  2.42505200e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847859e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389764e+05  2.41389758e+05  0.00000000e+00
 1.62387184e-05  2.42505216e+05  2.42505194e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847850e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389759e+05  2.41389753e+05  0.00000000e+00
 1.64899150e-05  2.42505211e+05  2.42505188e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847842e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389754e+05  2.41389747e+05  0.00000000e+00
 1.67449974e-05  2.42505205e+05  2.42505182e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847832e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389748e+05  2.41389742e+05  0.00000000e+00
 1.70040256e-05  2.42505200e+05  2.42505176e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847823e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389742e+05  2.41389736e+05  0.00000000e+00
 1.72670608e-05  2.42505194e+05  2.42505169e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847814e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389736e+05  2.41389730e+05  0.00000000e+00
 1.75341648e-05  2.42505188e+05  2.42505163e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847804e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389730e+05  2.41389723e+05  0.00000000e+00
 1.78054007e-05  2.42505182e+05  2.42505156e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847793e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389724e+05  2.41389717e+05  0.00000000e+00
